Order ID,Date,Region,Category,Product,Customer,Sales,Quantity,Profit,Discount
ORD-0053,3/8/2025,North,Electronics,Headphones,CUST-075,3667,5,1213,5.00%
ORD-0054,10/10/2025,South,Furniture,Bookshelf,CUST-005,361.6,4,140.99,20.00%
ORD-0055,23/11/2025,North,Electronics,Laptop,CUST-045,2131.8,6,823.08,15.00%
ORD-0056,1/4/2025,South,Office Supplies,Stapler,CUST-090,331.5,6,99.2,15.00%
ORD-0057,13/11/2025,East,Clothing,Jacket,CUST-105,883.5,6,220.82,5.00%
ORD-0058,14/5/2025,South,Clothing,T-Shirt,CUST-044,381,3,148.45,0.00%
ORD-0059,13/6/2025,East,Electronics,Keyboard,CUST-147,4023,5,812,10.00%
ORD-0060,16/9/2025,West,Office Supplies,Notebook,CUST-012,36,2,10.1,0.00%
ORD-0061,31/3/2025,West,Furniture,Table,CUST-060,1111.5,6,443.72,5.00%
ORD-0062,31/7/2025,North,Furniture,Table,CUST-141,1068,4,399.93,0.00%
ORD-0063,8/11/2025,South,Furniture,Bookshelf,CUST-109,605,5,203.93,0.00%
ORD-0064,4/3/2025,North,Electronics,Headphones,CUST-086,407.7,1,118.06,10.00%
ORD-0065,6/1/2025,West,Clothing,Jacket,CUST-095,89.6,1,38.96,20.00%
ORD-0066,25/5/2025,North,Electronics,Monitor,CUST-078,1470.6,3,324.41,5.00%
ORD-0067,15/10/2025,South,Electronics,Monitor,CUST-092,130,1,34.92,0.00%
ORD-0068,25/9/2025,North,Clothing,Shoes,CUST-054,1108.8,7,343.24,10.00%
ORD-0069,7/3/2025,East,Office Supplies,Notebook,CUST-103,100.8,6,28.48,20.00%
ORD-0070,4/11/2025,North,Furniture,Table,CUST-079,1198.8,4,510,10.00%
ORD-0071,3/7/2025,North,Office Supplies,Pen Set,CUST-074,50.4,7,20.68,20.00%
ORD-0072,23/8/2025,East,Electronics,Keyboard,CUST-115,562.4,4,203.16,5.00%
ORD-0073,3/7/2025,North,Clothing,T-Shirt,CUST-096,648.55,7,260,15.00%
ORD-0074,2/4/2025,South,Clothing,Jacket,CUST-061,337.5,5,76.99,10.00%
ORD-0075,6/8/2025,North,Furniture,Chair,CUST-073,980.4,6,407.1,5.00%
ORD-0076,2/3/2025,North,Furniture,Chair,CUST-026,1593.9,7,320.95,10.00%
ORD-0077,19/3/2025,West,Office Supplies,Notebook,CUST-130,57,1,13.95,5.00%
ORD-0078,26/8/2025,East,Electronics,Monitor,CUST-018,4201.2,6,875.09,10.00%
ORD-0079,30/9/2025,East,Furniture,Desk,CUST-086,658.35,3,196.01,5.00%
ORD-0080,8/3/2025,North,Furniture,Desk,CUST-109,736,4,196.25,0.00%
ORD-0081,11/2/2025,North,Furniture,Bookshelf,CUST-101,292,4,86.9,0.00%
ORD-0082,30/5/2025,North,Furniture,Table,CUST-070,424,2,83.91,20.00%
ORD-0083,31/8/2025,East,Clothing,Shoes,CUST-040,304,4,130.21,0.00%
ORD-0084,3/3/2025,North,electronics,Keyboard,CUST-079,595,7,188.91,0.00%
ORD-0085,2/10/2025,West,Clothing,Shoes,CUST-020,110.2,2,39.96,5.00%
ORD-0086,22/12/2025,North,Electronics,Keyboard,CUST-003,448,7,140.38,20.00%
ORD-0087,17/6/2025,South,Electronics,Monitor,CUST-084,151.3,2,59.84,15.00%
ORD-0088,1/11/2025,North,Electronics,Headphones,CUST-062,1836,5,653.26,10.00%
ORD-0089,4/2/2025,North,Office Supplies,Stapler,CUST-040,158,2,62.35,0.00%
ORD-0090,1/8/2025,North,Office Supplies,Pen Set,CUST-005,61.2,4,24.84,15.00%
ORD-0091,23/10/2025,West,Clothing,Jacket,CUST-039,700.8,6,204.04,20.00%
ORD-0092,13/8/2025,East,Office Supplies,Pen Set,CUST-053,81,3,31.37,0.00%
ORD-0093,15/1/2025,East,Office Supplies,Stapler,CUST-033,191.7,3,68.93,10.00%
ORD-0094,16/10/2025,South,Office Supplies,Pen Set,CUST-086,427,7,110.64,0.00%
ORD-0095,16/8/2025,North,Furniture,Desk,CUST-015,1476,5,620.11,20.00%
ORD-0096,5/4/2025,East,Electronics,Keyboard,CUST-036,944,5,241.28,20.00%
ORD-0097,6/8/2025,North,Furniture,Bookshelf,CUST-104,532.95,3,103.52,5.00%
ORD-0098,20/11/2025,North,Furniture,Desk,CUST-120,121.55,1,51.34,15.00%
ORD-0099,23/10/2025,North,Electronics,Keyboard,CUST-011,1165.5,7,292.73,10.00%
ORD-0100,24/2/2025,East,Clothing,T-Shirt,CUST-143,624,6,224.84,0.00%
ORD-0101,1/9/2025,North,Electronics,Headphones,CUST-090,388,1,162.63,0.00%
ORD-0102,8/9/2025,East,Clothing,Jeans,CUST-025,189,2,83.37,10.00%
ORD-0103,30/5/2025,South,Clothing,Shoes,CUST-114,840,6,246.32,20.00%
ORD-0104,26/12/2025,North,Electronics,Laptop,CUST-071,969.85,7,296.32,15.00%
ORD-0105,7/6/2025,North,Electronics,Keyboard,CUST-049,1323,5,470.55,10.00%
ORD-0106,24/6/2025,South,Electronics,Laptop,CUST-113,1338,6,321.93,0.00%
ORD-0107,11/6/2025,West,Furniture,Desk,CUST-087,2289.6,6,799.54,10.00%
ORD-0108,12/9/2025,North,Clothing,Shoes,CUST-072,44,2,17.16,0.00%
ORD-0109,29/3/2025,South,Furniture,Chair,CUST-032,704.9,7,163.94,5.00%
ORD-0110,20/9/2025,North,Office Supplies,Pen Set,CUST-085,282.15,3,125.98,5.00%
ORD-0111,11/1/2025,South,Clothing,Shoes,CUST-130,480,5,110.06,0.00%
ORD-0112,21/12/2025,West,Clothing,Jacket,CUST-086,133,7,44.19,0.00%
ORD-0113,28/7/2025,South,Office Supplies,Stapler,CUST-009,63,1,20.1,0.00%
ORD-0114,19/4/2025,South,Office Supplies,Pen Set,CUST-037,38,5,11.71,5.00%
ORD-0115,2/6/2025,South,Clothing,Jeans,CUST-122,106.4,2,31.96,5.00%
ORD-0116,25/9/2025,North,Office Supplies,Printer Paper,CUST-053,157.5,5,45.47,10.00%
ORD-0117,29/12/2025,North,Clothing,Jeans,CUST-051,646,5,261.7,5.00%
ORD-0118,23/4/2025,East,Electronics,Keyboard,CUST-039,2357.1,3,834.34,10.00%
ORD-0119,7/9/2025,West,Office Supplies,Printer Paper,CUST-148,134.4,6,42.93,20.00%
ORD-0120,14/3/2025,North,Clothing,Jacket,CUST-040,467.4,4,150.48,5.00%
ORD-0121,11/5/2025,South,Electronics,Laptop,CUST-108,140,1,53.69,0.00%
ORD-0122,1/11/2025,North,Office Supplies,Printer Paper,CUST-017,110.4,6,46.95,20.00%
ORD-0123,29/5/2025,North,Furniture,Chair,CUST-118,2154.6,7,543.6,10.00%
ORD-0124,31/12/2025,South,Office Supplies,Pen Set,CUST-047,17.1,1,3.13,10.00%
ORD-0125,1/12/2025,North,Office Supplies,Pen Set,CUST-007,591.85,7,216.34,5.00%
ORD-0126,13/4/2025,North,Electronics,Headphones,CUST-014,1450.8,2,527.86,10.00%
ORD-0127,2/7/2025,East,Clothing,Shoes,CUST-108,141.6,3,43.45,
ORD-0128,18/4/2025,South,Clothing,Jacket,CUST-055,158.65,1,49.11,5.00%
ORD-0129,15/8/2025,East,Clothing,Jeans,CUST-039,51.3,2,10.08,5.00%
ORD-0130,23/9/2025,South,Furniture,Table,CUST-103,1517.25,5,279.63,15.00%
ORD-0131,20/10/2025,North,Office Supplies,Notebook,CUST-073,32.3,1,11.95,5.00%
ORD-0132,17/7/2025,East,Clothing,T-Shirt,CUST-063,146.3,1,34.31,5.00%
ORD-0133,13/3/2025,West,Furniture,Table,CUST-093,948.6,3,410.23,15.00%
ORD-0134,16/9/2025,West,Clothing,Jeans,CUST-006,418,5,183.95,5.00%
ORD-0135,27/6/2025,South,Electronics,Laptop,CUST-062,718.2,6,221.38,5.00%
ORD-0136,23/12/2025,South,Electronics,Keyboard,CUST-011,717,3,149.4,0.00%
ORD-0137,19/6/2025,North,Electronics,Keyboard,CUST-040,2142,3,471.04,0.00%
ORD-0138,31/3/2025,South,Electronics,Laptop,CUST-037,823.5,3,209.73,10.00%
ORD-0139,15/12/2025,East,Office Supplies,Stapler,CUST-067,176,5,56.36,20.00%
ORD-0140,2/4/2025,North,Office Supplies,Stapler,CUST-059,18,2,3.88,10.00%
ORD-0141,10/7/2025,East,Clothing,Shoes,CUST-007,47.2,1,12.57,20.00%
ORD-0142,7/6/2025,East,Electronics,Headphones,CUST-082,3990,5,912.17,5.00%
ORD-0143,23/4/2025,North,Office Supplies,Pen Set,CUST-017,336,6,95.23,20.00%
ORD-0144,15/3/2025,North,Office Supplies,Printer Paper,CUST-063,70.2,2,17.17,10.00%
ORD-0145,30/8/2025,West,Office Supplies,Stapler,CUST-017,428.4,7,113.21,15.00%
ORD-0146,24/6/2025,North,Office Supplies,Pen Set,CUST-125,81.7,1,14.92,5.00%
ORD-0147,26/1/2025,South,Office Supplies,Printer Paper,CUST-029,373.5,5,142.61,10.00%
ORD-0148,15/10/2025,South,Office Supplies,Notebook,CUST-084,79.2,3,29.26,20.00%
ORD-0149,30/10/2025,West,Furniture,Bookshelf,CUST-101,958.8,3,242.15,15.00%
ORD-0150,15/1/2025,South,Clothing,Shoes,CUST-064,826.5,6,172.4,5.00%
ORD-0151,25/5/2025,North,Electronics,Laptop,CUST-053,2941,4,1176.13,15.00%
ORD-0152,12/11/2025,South,Office Supplies,Printer Paper,CUST-131,247.35,3,109.14,15.00%
ORD-0153,15/11/2025,South,Office Supplies,Pen Set,CUST-117,523.6,7,156.68,15.00%
ORD-0154,4/12/2025,South,Furniture,Table,CUST-095,695.4,3,185.17,5.00%
ORD-0155,29/3/2025,North,Furniture,Table,CUST-145,691.2,3,221.37,10.00%
ORD-0156,21/7/2025,West,Office Supplies,Notebook,CUST-097,459,6,119.49,15.00%
ORD-0157,13/4/2025,South,Furniture,Chair,CUST-103,385.05,1,136.07,15.00%
ORD-0158,13/11/2025,East,Furniture,Desk,CUST-123,290,2,55.99,0.00%
ORD-0159,24/11/2025,South,Furniture,Chair,CUST-092,2268.6,6,448.04,5.00%
ORD-0160,10/11/2025,South,Furniture,Table,CUST-127,1566,6,326.35,10.00%
ORD-0161,28/3/2025,West,Clothing,Jacket,CUST-141,26.6,1,11.54,5.00%
ORD-0162,2/7/2025,West,Electronics,Laptop,CUST-051,482.4,3,114.22,20.00%
ORD-0163,21/7/2025,East,Office Supplies,Pen Set,CUST-035,360,6,114.05,0.00%
ORD-0164,8/6/2025,South,Electronics,Laptop,CUST-024,1716,6,369.91,0.00%
ORD-0165,26/6/2025,East,Office Supplies,Notebook,CUST-096,81.6,4,35.84,15.00%
ORD-0166,22/10/2025,South,Electronics,Keyboard,CUST-115,372.4,2,87.85,5.00%
ORD-0167,21/12/2025,South,Furniture,Desk,CUST-008,680,5,171.4,20.00%
ORD-0168,21/11/2025,South,Office Supplies,Stapler,CUST-041,467.4,6,187.49,5.00%
ORD-0169,22/11/2025,North,Furniture,Desk,CUST-123,510,4,147.85,15.00%
ORD-0170,28/10/2025,East,Electronics,Laptop,CUST-047,493,4,204.43,15.00%
ORD-0171,28/11/2025,South,Clothing,Jacket,CUST-105,53.2,2,17.49,5.00%
ORD-0172,17/4/2025,North,Electronics,Laptop,CUST-049,2907,4,1010.4,15.00%
ORD-0173,10/5/2025,North,Electronics,Keyboard,CUST-037,799,4,301.36,15.00%
ORD-0174,21/11/2025,North,Office Supplies,Pen Set,CUST-012,296,5,58.56,20.00%
ORD-0175,8/2/2025,East,Furniture,Table,CUST-038,1211.25,5,226.82,5.00%
ORD-0176,8/1/2025,South,Office Supplies,Printer Paper,CUST-085,307.8,6,77.6,5.00%
ORD-0177,29/4/2025,South,Electronics,Headphones,CUST-114,2047.25,5,555.54,5.00%
ORD-0178,29/10/2025,West,Furniture,Chair,CUST-033,615.6,2,122.29,10.00%
ORD-0179,8/8/2025,South,Electronics,Headphones,CUST-063,5131,7,2161.28,0.00%
ORD-0180,20/11/2025,South,Electronics,Laptop,CUST-125,134.4,1,39.9,20.00%
ORD-0181,31/12/2025,East,Furniture,Desk,CUST-129,232,4,84.53,0.00%
ORD-0182,23/5/2025,North,Office Supplies,Pen Set,CUST-147,351.9,6,100.41,15.00%
ORD-0183,20/4/2025,South,Office Supplies,Notebook,CUST-074,45.6,1,13.29,5.00%
ORD-0184,27/4/2025,North,Furniture,Desk,CUST-012,117.8,1,37.77,5.00%
ORD-0185,21/1/2025,East,Electronics,Monitor,CUST-107,1800.25,5,462.34,5.00%
ORD-0186,28/9/2025,West,Clothing,Shoes,CUST-021,934.15,7,186.55,15.00%
ORD-0187,27/1/2025,North,Electronics,Monitor,CUST-035,2114.4,3,788.85,20.00%
ORD-0188,31/3/2025,North,Office Supplies,Stapler,CUST-094,12,2,2.24,0.00%
ORD-0189,25/10/2025,West,Clothing,Jacket,CUST-036,371,7,110.12,0.00%
ORD-0190,21/5/2025,East,Office Supplies,Stapler,CUST-150,230.4,6,64.29,20.00%
ORD-0191,1/5/2025,North,Furniture,Chair,CUST-072,2462.4,6,991.88,5.00%
ORD-0192,10/4/2025,West,Office Supplies,Stapler,CUST-089,68.4,1,17.26,5.00%
ORD-0193,14/8/2025,North,Furniture,Bookshelf,CUST-119,1124,4,282.17,0.00%
ORD-0194,11/1/2025,South,Electronics,Laptop,CUST-078,2606.1,6,1027.66,15.00%
ORD-0195,26/5/2025,East,Electronics,Laptop,CUST-042,299.7,1,86.55,10.00%
ORD-0196,12/4/2025,South,Furniture,Chair,CUST-032,3137.4,7,900.84,10.00%
ORD-0197,19/12/2025,East,Clothing,T-Shirt,CUST-070,599.4,6,204.8,10.00%
ORD-0198,27/1/2025,West,Electronics,Headphones,CUST-149,2924,4,683.93,15.00%
ORD-0199,10/5/2025,East,Office Supplies,Pen Set,CUST-002,111.6,2,44.49,10.00%
ORD-0200,29/11/2025,North,Furniture,Chair,CUST-031,828.75,3,353.07,15.00%
ORD-0201,16/5/2025,West,Clothing,T-Shirt,CUST-003,1023.4,7,364.49,15.00%
ORD-0202,30/12/2025,North,Office Supplies,Pen Set,CUST-121,38.25,5,7.64,15.00%
ORD-0203,7/2/2025,West,Furniture,Chair,CUST-142,1584,4,359.51,20.00%
ORD-0204,27/11/2025,East,Office Supplies,Notebook,CUST-055,591.85,7,116.61,5.00%
ORD-0205,23/3/2025,North,Furniture,Bookshelf,CUST-035,2286,6,956.88,0.00%
ORD-0206,12/6/2025,South,Furniture,Table,CUST-091,294.1,2,67.33,15.00%
ORD-0207,6/11/2025,North,Furniture,Bookshelf,CUST-095,598.5,2,247.91,5.00%
ORD-0208,25/1/2025,North,Furniture,Chair,CUST-117,1884.6,6,363.25,10.00%
ORD-0209,8/5/2025,West,Furniture,Table,CUST-092,501.5,5,120.5,15.00%
ORD-0210,10/5/2025,West,Electronics,Headphones,CUST-031,2932.8,6,1305.75,20.00%
ORD-0211,25/2/2025,East,Clothing,T-Shirt,CUST-083,410.4,3,178.28,5.00%
ORD-0212,17/9/2025,East,Electronics,,CUST-040,1734,5,490.94,15.00%
ORD-0213,27/6/2025,East,Electronics,Laptop,CUST-116,2731.05,7,603.66,15.00%
ORD-0214,13/5/2025,South,Clothing,Jeans,CUST-130,676,5,233.55,20.00%
ORD-0215,6/3/2025,North,Furniture,Bookshelf,CUST-082,1277.75,5,340.06,5.00%
ORD-0216,2/7/2025,North,Electronics,Laptop,CUST-026,1740.8,4,386.5,20.00%
ORD-0217,11/2/2025,North,Furniture,Table,CUST-042,256.7,2,55.94,15.00%
ORD-0218,1/3/2025,West,Electronics,Laptop,CUST-029,271,1,71.6,0.00%
ORD-0219,2/8/2025,West,Electronics,Monitor,CUST-079,590.9,2,204.27,5.00%
ORD-0220,8/1/2025,North,Electronics,Keyboard,CUST-087,1764,7,582.68,0.00%
ORD-0221,20/8/2025,South,Clothing,T-Shirt,CUST-110,664,5,207.62,20.00%
ORD-0222,18/9/2025,North,Office Supplies,Printer Paper,CUST-094,115.2,4,46.42,10.00%
ORD-0223,13/9/2025,West,Furniture,Table,CUST-073,300,2,111.07,0.00%
ORD-0224,29/4/2025,South,Furniture,Bookshelf,CUST-114,662,2,182.81,0.00%
ORD-0225,15/10/2025,West,Furniture,Chair,CUST-124,1235.2,4,248.92,20.00%
ORD-0226,11/11/2025,South,Furniture,Bookshelf,CUST-124,624,2,218.1,0.00%
ORD-0227,2/5/2025,West,Furniture,Chair,CUST-119,906,2,249.72,0.00%
ORD-0228,6/5/2025,West,Clothing,T-Shirt,CUST-046,102.4,4,39.97,20.00%
ORD-0229,14/12/2025,North,Office Supplies,Pen Set,CUST-013,163.8,7,61.8,10.00%
ORD-0230,13/2/2025,North,Furniture,Desk,CUST-022,2137.5,5,874.92,10.00%
ORD-0231,30/1/2025,East,Clothing,T-Shirt,CUST-108,76.5,5,31.29,10.00%
ORD-0232,3/1/2025,North,Clothing,T-Shirt,CUST-132,600,5,149.84,0.00%
ORD-0233,22/4/2025,North,Office Supplies,Printer Paper,CUST-137,90,2,35.93,10.00%
ORD-0234,14/1/2025,North,Office Supplies,Stapler,CUST-121,295.8,6,73.55,15.00%
ORD-0235,21/4/2025,North,Office Supplies,Printer Paper,CUST-132,208.8,3,86.93,20.00%
ORD-0236,17/9/2025,West,Office Supplies,Pen Set,CUST-057,427.2,6,188.89,20.00%
ORD-0237,2/12/2025,South,Electronics,Keyboard,CUST-055,178.2,1,77.07,10.00%
ORD-0238,1/3/2025,East,Office Supplies,Stapler,CUST-049,464.4,6,175.15,10.00%
ORD-0239,22/12/2025,West,Clothing,Jeans,CUST-019,350.55,3,90.77,5.00%
ORD-0240,26/4/2025,North,Office Supplies,Notebook,CUST-047,236,4,100.55,0.00%
ORD-0241,16/2/2025,East,Clothing,T-Shirt,CUST-143,595,4,188.04,15.00%
ORD-0242,2/3/2025,South,Furniture,Bookshelf,CUST-050,649.8,6,189.29,5.00%
ORD-0243,20/2/2025,North,Clothing,T-Shirt,CUST-147,396,3,78.81,0.00%
ORD-0244,15/3/2025,West,Furniture,Bookshelf,CUST-005,1978.8,6,461.63,15.00%
ORD-0245,10/4/2025,South,Office Supplies,Pen Set,CUST-041,78,2,18.67,0.00%
ORD-0246,5/2/2025,North,Furniture,Desk,CUST-108,771.8,4,210.41,15.00%
ORD-0247,2/12/2025,West,Furniture,Desk,CUST-106,2193,6,520.78,15.00%
ORD-0248,7/9/2025,East,Electronics,Laptop,CUST-021,3429,6,1485.04,10.00%
ORD-0249,22/7/2025,West,Office Supplies,Pen Set,CUST-143,18.05,1,4.55,5.00%
ORD-0250,21/1/2025,South,Office Supplies,Printer Paper,CUST-069,90,5,28.48,0.00%
ORD-0251,10/6/2025,South,Clothing,Jacket,CUST-117,206.4,2,58.97,20.00%
ORD-0252,28/1/2025,South,Office Supplies,Printer Paper,CUST-043,136,2,52.85,20.00%
ORD-0253,7/12/2025,North,Electronics,Headphones,CUST-002,1459.2,6,465.68,5.00%
ORD-0254,27/3/2025,West,Furniture,Table,CUST-088,332.1,1,91.07,10.00%
ORD-0255,1/2/2025,East,Clothing,Shoes,CUST-021,610.2,6,145.05,10.00%
ORD-0256,26/4/2025,West,Office Supplies,Pen Set,CUST-014,504,7,137.04,20.00%
ORD-0257,5/9/2025,South,Clothing,T-Shirt,CUST-131,42,1,18.59,0.00%
ORD-0258,27/6/2025,East,Office Supplies,Stapler,CUST-147,36.55,1,11.99,15.00%
ORD-0259,13/6/2025,North,Electronics,Headphones,CUST-085,1486.65,3,350.74,15.00%
ORD-0260,25/9/2025,South,Office Supplies,Printer Paper,CUST-007,81.7,1,26.89,5.00%
ORD-0261,8/1/2025,North,Office Supplies,Printer Paper,CUST-124,220,5,63.47,0.00%
ORD-0262,29/10/2025,East,Office Supplies,Printer Paper,CUST-016,115,5,26.8,0.00%
ORD-0263,11/8/2025,East,Electronics,Headphones,CUST-128,2601,5,470.23,15.00%
ORD-0264,13/5/2025,East,Clothing,T-Shirt,CUST-009,37.05,1,14.57,5.00%
ORD-0265,30/12/2025,West,Office Supplies,Pen Set,CUST-131,96,2,30.99,0.00%
ORD-0266,10/2/2025,East,Office Supplies,Stapler,CUST-082,480.6,6,197.85,10.00%
ORD-0267,19/5/2025,South,Furniture,Bookshelf,CUST-015,215,1,47.9,0.00%
ORD-0268,5/9/2025,West,Clothing,Jacket,CUST-047,28.5,1,10.4,5.00%
ORD-0269,30/10/2025,South,Clothing,Jeans,CUST-143,13.5,1,3.54,10.00%
ORD-0270,8/2/2025,North,Clothing,T-Shirt,CUST-099,153,3,32.86,15.00%
ORD-0271,15/2/2025,South,Office Supplies,Notebook,CUST-142,598.5,7,251.39,10.00%
ORD-0272,8/10/2025,West,Office Supplies,Notebook,CUST-088,442.8,6,148.74,10.00%
ORD-0273,20/7/2025,West,Furniture,Desk,CUST-071,1020.6,6,251.51,10.00%
ORD-0274,13/11/2025,West,Furniture,Bookshelf,CUST-030,138.55,1,58.14,15.00%
ORD-0275,30/11/2025,South,Electronics,Keyboard,CUST-041,409.5,1,176.07,10.00%
ORD-0276,12/9/2025,East,Office Supplies,Printer Paper,CUST-016,360,4,65.87,0.00%
ORD-0277,19/2/2025,North,Electronics,Monitor,CUST-149,459.9,1,83.35,10.00%
ORD-0278,4/8/2025,West,Electronics,Keyboard,CUST-065,2746.8,4,621.03,10.00%
ORD-0279,15/1/2025,North,Office Supplies,Notebook,CUST-147,345.1,7,112.02,15.00%
ORD-0280,28/6/2025,West,Furniture,Table,CUST-055,1151.75,5,272.99,15.00%
ORD-0281,13/7/2025,West,Clothing,Shoes,CUST-091,324,4,88.74,10.00%
ORD-0282,2/3/2025,West,Clothing,T-Shirt,CUST-006,20,1,8.98,0.00%
ORD-0283,6/12/2025,West,Furniture,Bookshelf,CUST-141,1082.7,3,356.41,10.00%
ORD-0284,31/3/2025,East,Electronics,Monitor,CUST-085,323.85,1,136.29,15.00%
ORD-0285,17/1/2025,West,Electronics,Laptop,CUST-021,3345.6,6,1248.47,20.00%
ORD-0286,29/11/2025,East,Clothing,Jacket,CUST-046,333.9,7,146.21,10.00%
ORD-0287,25/9/2025,North,Electronics,Laptop,CUST-045,313.6,4,80.66,20.00%
ORD-0288,7/6/2025,North,Furniture,Bookshelf,CUST-084,1771.2,4,796.03,10.00%
ORD-0289,27/8/2025,West,Furniture,Desk,CUST-084,380,2,161.53,5.00%
ORD-0290,15/4/2025,South,Electronics,Laptop,CUST-051,1736.6,4,467.99,5.00%
ORD-0291,16/9/2025,West,Clothing,T-Shirt,CUST-117,264,2,107.8,0.00%
ORD-0292,25/9/2025,East,Furniture,Chair,CUST-065,2502.3,6,1118.13,5.00%
ORD-0293,21/10/2025,West,Clothing,T-Shirt,CUST-021,532,7,134.66,0.00%
ORD-0294,30/1/2025,West,Furniture,Bookshelf,CUST-108,220.8,2,47.99,20.00%
